详情链接,缩略图,楼盘名称,楼盘地址,户型,楼盘状态,楼盘标签,楼盘价格
https://wx.fang.anjuke.com/loupan/417128.html,https://pic4.ajkimg.com/display/xinfang/1ffe57b56e089f2eccfb9be40f3c2db6/180x135m.jpg,绿地天空树,"[ 滨湖 太湖 ] 蠡湖大道,近具区路","['3室', '4室', '建筑面积：102-150㎡']","['待售', '住宅']","['项目在建', '装修交付', '品牌开发商', '高绿化率']",售价待定
https://wx.fang.anjuke.com/loupan/441262.html,https://pic4.ajkimg.com/display/xinfang/27f7a7536b7a513963f5d86b6cafa0f5/180x135m.jpg,绿地西水晶舍,[ 梁溪 北塘 ] 新惠路与惠东路交叉口东南侧,"['3室', '4室', '建筑面积：106-138㎡']","['待售', '住宅']","['项目在建', '装修交付', '小型社区', '大户型']",售价待定
https://wx.fang.anjuke.com/loupan/239503.html,https://pic4.ajkimg.com/display/xinfang/0c09a306f138b594d296de4d0e0049d1/180x135m.jpg,绿地西水东,[ 梁溪 南长 ] 振新路，近学前路,"['3室', '建筑面积：148㎡']","['待售', '住宅']","['项目在建', '轨交房', '装修交付', '大平层']",售价待定
https://wx.fang.anjuke.com/loupan/413852.html,https://pic4.ajkimg.com/display/xinfang/a1c7105bbb9ee3b3846e889c51e03ce0/180x135m.jpg,阳光100阿尔勒,[ 惠山 堰桥 ] 北环路，近新锡澄路,"['3室', '4室', '建筑面积：89.86-127.31㎡']","['在售', '住宅']","['低单价', '项目在建', '装修交付', '大型社区']",均价12000元/㎡
https://wx.fang.anjuke.com/loupan/448761.html,https://pic4.ajkimg.com/display/xinfang/81c07d0c670db6cf5824fa234c2fc7de/180x135m.jpg,无锡孔雀城,[ 梁溪 南长 ] 南湖大道与金城高架交汇往南200米,[],"['在售', '商业街']","['大型社区', '学校', '活动优惠', '人气楼盘']",总价22万元/套起
https://wx.fang.anjuke.com/loupan/434918.html,https://pic4.ajkimg.com/display/xinfang/77c1c1d9f33a132d488d4fc226780ee2/180x135m.jpg,华发首府,[ 梁溪 南长 ] 南湖大道与金石路交叉口东北侧,"['3室', '建筑面积：101-123㎡']","['待售', '住宅']","['地块规划', '品牌开发商', '大型社区', '公园']",售价待定
https://wx.fang.anjuke.com/loupan/413441.html,https://pic4.ajkimg.com/display/xinfang/e9b708074e3c2d3047b0dcff78cf6217/180x135m.jpg,红豆财富广场F公馆,[ 锡山 锡东 ] 丹山路西、东翔路北,['建筑面积：43-43㎡'],"['待售', '办公楼']","['轨交房', '银行', '便利店', '活动优惠']",售价待定周边均价14667元/m²
https://wx.fang.anjuke.com/loupan/413923.html,https://pic4.ajkimg.com/display/xinfang/b64bfb4a03cfcaadb13a0d13ec9500a1/180x135m.jpg,正大万物城,[ 新吴 旺庄 ] 长江南路，近新华路,"['3室', '4室', '建筑面积：90-131㎡']","['在售', '住宅']","['新开盘', '今年交房', '低单价', '项目在建']",最低12500元/㎡起
https://wx.fang.anjuke.com/loupan/436005.html,https://pic4.ajkimg.com/display/xinfang/70b419894fcbdc92a8a8c744419b9f87/180x135m.jpg,远洋太湖宸章,[ 新吴 新安 ] 太科园具区路与净慧东道交汇处（大桥实...,"['3室', '4室', '别墅', '建筑面积：88-230㎡']","['在售', '别墅']","['项目在建', '叠加别墅', '低容积', '小型社区']",售价待定
https://wx.fang.anjuke.com/loupan/434896.html,https://pic4.ajkimg.com/display/xinfang/cd732e01892246688853b5295d856357/180x135m.jpg,宝龙世家,[ 新吴 旺庄 ] 长江南路与新华路交汇处,"['3室', '4室', '建筑面积：98-129㎡']","['在售', '住宅']","['低单价', '项目在建', '品牌开发商', '低容积']",均价13000元/㎡
https://wx.fang.anjuke.com/loupan/249598.html,https://pic4.ajkimg.com/display/xinfang/feff249954456ede50c3b02fa32d5263/180x135m.jpg,宝能城,[ 滨湖 太湖 ] 吴都路与立信大道交汇处,"['2室', '3室', '商住', '建筑面积：43-143㎡']","['在售', '商住']","['项目在建', '轨交房', '大型社区', '购物中心']",均价14000元/㎡
https://wx.fang.anjuke.com/loupan/444745.html,https://pic4.ajkimg.com/display/xinfang/972acae17a4d8e5e4e3731e7d5e9ef75/180x135m.jpg,东岭锡上,[ 梁溪 崇安 ] 新生路与人民中路交汇处,['建筑面积：180000㎡'],"['待售', '酒店式公寓']","['多轨交', '装修交付', '品牌开发商', '小型社区']",售价待定
https://wx.fang.anjuke.com/loupan/437625.html,https://pic4.ajkimg.com/display/xinfang/a96ca481856d0448612c0b6bb0356e6c/180x135m.jpg,梁溪本源,[ 梁溪 北塘 ] 江海西路与会岸路交汇处,"['2室', '3室', '4室', '建筑面积：80-135㎡']","['在售', '住宅']","['项目在建', '大型社区', '购物中心', '商业街']",最低16000元/㎡起
https://wx.fang.anjuke.com/loupan/437360.html,https://pic4.ajkimg.com/display/xinfang/e74c135879d4f7ba786d75bdd66edb3c/180x135m.jpg,弘阳昕悦棠,[ 惠山 前洲 ] 万寿路与站北路交叉口东南侧,"['3室', '4室', '建筑面积：92-125㎡']","['在售', '住宅']","['低单价', '项目在建', '品牌开发商', '大型社区']",最低10500元/㎡起
https://wx.fang.anjuke.com/loupan/443886.html,https://pic4.ajkimg.com/display/xinfang/67496c0756356b64d15911ce69522590/180x135m.jpg,碧桂园南光城,[ 惠山 洛社 ] 洛南大道与永辉路交汇处,"['3室', '4室', '建筑面积：115-143㎡']","['待售', '住宅']","['项目在建', '装修交付', '品牌开发商', '大型社区']",售价待定周边均价13500元/㎡
https://wx.fang.anjuke.com/loupan/239674.html,https://pic4.ajkimg.com/display/xinfang/0a237fa3af1b23dec60325e21d367f77/180x135m.jpg,无锡保华旺苑,[ 梁溪 南长 ] 五爱路与迎龙路交汇处,"['1室', '2室', '建筑面积：48-82㎡']","['在售', '住宅']","['新开盘', '轨交房', '装修交付', '高绿化率']",均价21000元/㎡
https://wx.fang.anjuke.com/loupan/432181.html,https://pic4.ajkimg.com/display/xinfang/d3a06235a1a934b4066cc4c6527ba990/180x135m.jpg,建发玖里湾,[ 锡山 锡东 ] 和祥路与山河路交汇处（映月湖公园旁）,"['3室', '别墅', '建筑面积：89-265㎡']","['在售', '住宅']","['项目在建', '轨交房', '低容积', '大型社区']",售价待定周边均价14667元/m²
https://wx.fang.anjuke.com/loupan/442296.html,https://pic4.ajkimg.com/display/xinfang/65cb9ed3a8d5c3f4d48372828d262c3e/180x135m.jpg,小天鹅雍山府,[ 梁溪 北塘 ] 盛岸路近钱皋路,"['3室', '4室', '建筑面积：125-147㎡']","['在售', '住宅']","['项目在建', '低容积', '高绿化率', '小型社区']",最低16500元/㎡起
https://wx.fang.anjuke.com/loupan/418549.html,https://pic4.ajkimg.com/display/xinfang/9d2d5cd48ce6ea4b240836044a5f2ac4/180x135m.jpg,新力帝泊湾,"[ 滨湖 马山 ] 人民东路,近刘闾路","['3室', '别墅', '建筑面积：93.47-303.69㎡']","['在售', '住宅']","['项目在建', '装修交付', '低容积', '小型社区']",售价待定
https://wx.fang.anjuke.com/loupan/417542.html,https://pic4.ajkimg.com/display/xinfang/4140e6eec43c61b03081ab2e9da99c19/180x135m.jpg,无锡中海寰宇天下,"[ 新吴 江溪 ] 金城东路,近春华路","['3室', '4室', '5室', '6室', '建筑面积：89-150㎡']","['在售', '住宅']","['新开盘', '项目在建', '装修交付', '品牌开发商']",最低14700元/㎡起
https://wx.fang.anjuke.com/loupan/449245.html,https://pic4.ajkimg.com/display/xinfang/e3aa8198c82a948ac85219e14f2726db/180x135m.jpg,苏源万寿站地块,[ 惠山 前洲 ] 万寿路与站北路交叉口东南侧,[],"['待售', '住宅']",['地块规划'],售价待定周边均价9644元/m²
https://wx.fang.anjuke.com/loupan/449242.html,https://pic4.ajkimg.com/display/xinfang/712fd524454a7930263e32876677f656/180x135m.jpg,海伦堡竺溪府,[ 宜兴 周铁镇 ] 周前路与华仁大道交汇处,['建筑面积：139000㎡'],"['待售', '住宅']","['项目在建', '低容积', '小型社区', '学校']",售价待定周边均价13300元/m²
https://wx.fang.anjuke.com/loupan/429324.html,https://pic4.ajkimg.com/display/xinfang/a4941623f9b417ad8b2f9099abbea068/180x135m.jpg,银城东樾府,"[ 滨湖 太湖 ] 高浪路,近南湖大道","['3室', '4室', '建筑面积：108-146㎡']","['在售', '别墅']","['新开盘', '项目在建', '轨交房', '小型社区']",总价410万元/套起
https://wx.fang.anjuke.com/loupan/430773.html,https://pic4.ajkimg.com/display/xinfang/6e860df952f4c42dd048e5e640084016/180x135m.jpg,龙湖天宸原著,"[ 惠山 堰桥 ] 堰新路,近惠源路","['3室', '4室', '别墅', '建筑面积：90-227㎡']","['在售', '住宅']","['新开盘', '项目在建', '装修交付', '品牌开发商']",最低15500元/㎡起
https://wx.fang.anjuke.com/loupan/416092.html,https://pic4.ajkimg.com/display/xinfang/94682ee0d723379da3978878efb8b6f9/180x135m.jpg,蓝光雍锦园,[ 锡山 东亭 ] 二泉东路，近团结中路,"['3室', '4室', '5室', '建筑面积：109-159㎡']","['在售', '住宅']","['项目在建', '轨交房', '品牌开发商', '大型社区']",最低15000元/㎡起
https://wx.fang.anjuke.com/loupan/264198.html,https://pic4.ajkimg.com/display/xinfang/eac6d15033201bf1e450441c6d77d4aa/180x135m.jpg,栖霞栖庭,[ 滨湖 湖滨路 ] 湖滨路701号,"['2室', '3室', '4室', '建筑面积：86-146㎡']","['在售', '住宅']","['新开盘', '项目在建', '装修交付', '小型社区']",均价19500元/㎡
https://wx.fang.anjuke.com/loupan/414038.html,https://pic4.ajkimg.com/display/xinfang/d0b0c3f239fb64c05964cc6064f13b19/180x135m.jpg,国美南长华府,"[ 梁溪 南长 ] 太湖大道,近通扬路","['2室', '3室', '建筑面积：80-142㎡']","['在售', '住宅']","['项目在建', '轨交房', '小型社区', '购物中心']",最低17000元/㎡起
https://wx.fang.anjuke.com/loupan/416294.html,https://pic4.ajkimg.com/display/xinfang/12b9a68631406ba602e977937970f9d8/180x135m.jpg,蠡湖金茂府,"[ 滨湖 蠡湖 ] 金城西路,近金水路","['3室', '4室', '建筑面积：113-173㎡']","['在售', '住宅']","['新开盘', '项目在建', '装修交付', '品牌开发商']",最低31000元/㎡起
https://wx.fang.anjuke.com/loupan/263968.html,https://pic4.ajkimg.com/display/xinfang/97e0357a586737d61900201419890d54/180x135m.jpg,吉宝凌云峰阁,"[ 梁溪 北塘 ] 江海路,近锡澄路","['2室', '3室', '4室', '建筑面积：89-133㎡']","['在售', '住宅']","['今年交房', '项目在建', '轨交房', '小型社区']",均价18500元/㎡
